Date,Open,High,Low,Close,ChannelLow,ChannelHigh,PivotType,PivotValue
2024-01-28 09:00:00,161.49,162.37,161.46,161.98,-720.1119042138662,-606.5041490925064,Undefined,0
2024-01-28 09:30:00,161.89,162.23,161.67,161.73,-702.5702058798693,-592.4903889173104,Undefined,0
2024-01-28 10:00:00,161.76,161.9,160.98,160.98,-685.0285075458723,-578.4766287421144,Undefined,0
2024-01-28 10:30:00,161.08,161.38,160.72,161.0,-667.4868092118754,-564.4628685669184,Undefined,0
2024-01-28 11:00:00,161.12,161.38,160.96,161.21,-649.9451108778785,-550.4491083917223,Undefined,0
2024-01-28 11:30:00,161.06,161.28,160.48,160.52,-632.403412543882,-536.4353482165263,Undefined,0
2024-01-28 12:00:00,160.54,161.25,160.5,161.19,-614.8617142098851,-522.4215880413303,Undefined,0
2024-01-28 12:30:00,161.07,161.18,160.37,160.83,-597.3200158758882,-508.4078278661343,Undefined,0
2024-01-28 13:00:00,160.75,160.84,159.46,159.63,-579.7783175418913,-494.3940676909383,Undefined,0
2024-01-28 13:30:00,159.82,160.02,158.81,159.2,-562.2366192078944,-480.3803075157423,Low,158.809
2024-01-28 14:00:00,159.16,159.9,158.84,159.84,-544.6949208738974,-466.3665473405463,Undefined,0
2024-01-28 14:30:00,159.31,160.07,159.3,159.81,-527.1532225399005,-452.35278716535026,Undefined,0
2024-01-28 15:00:00,159.98,159.98,159.37,159.53,-509.61152420590406,-438.33902699015425,Undefined,0
2024-01-28 15:30:00,159.33,159.33,159.04,159.15,-492.06982587190714,-424.32526681495824,Undefined,0
2024-01-28 16:00:00,159.09,159.98,159.06,159.86,-474.5281275379102,-410.31150663976223,Undefined,0
2024-01-28 16:30:00,160.07,160.63,159.77,159.77,-456.9864292039133,-396.2977464645662,Undefined,0
2024-01-28 17:00:00,159.76,160.81,159.64,160.59,-439.4447308699164,-382.2839862893702,High,160.811
2024-01-28 17:30:00,160.49,160.62,158.9,159.77,-421.90303253591946,-368.2702261141742,Undefined,0
2024-01-28 18:00:00,159.76,159.82,159.33,159.45,-404.36133420192255,-354.2564659389782,Undefined,0
2024-01-28 18:30:00,159.46,160.01,159.42,160.01,-386.8196358679261,-340.24270576378217,Undefined,0
2024-01-28 19:00:00,159.88,160.29,159.13,159.13,-369.27793753392916,-326.22894558858616,Undefined,0
2024-01-28 19:30:00,159.59,160.48,159.58,160.08,-351.73623919993224,-312.21518541339015,Undefined,0
2024-01-28 20:00:00,160.08,160.68,160.08,160.68,-334.1945408659353,-298.20142523819413,Undefined,0
2024-01-28 20:30:00,160.66,160.66,158.91,159.18,-316.6528425319384,-284.1876650629981,Undefined,0
2024-01-28 21:00:00,159.19,160.0,158.98,159.19,-299.1111441979415,-270.1739048878021,Undefined,0
2024-01-28 21:30:00,159.61,160.63,159.61,160.42,-281.56944586394457,-256.1601447126061,Undefined,0
2024-01-28 22:00:00,160.43,160.67,160.32,160.44,-264.0277475299481,-242.14638453741009,Undefined,0
2024-01-28 22:30:00,160.29,160.51,159.56,160.15,-246.48604919595118,-228.13262436221407,Undefined,0
2024-01-28 23:00:00,160.11,160.58,159.86,160.46,-228.94435086195426,-214.11886418701806,Undefined,0
2024-01-28 23:30:00,160.32,160.32,159.25,159.98,-211.40265252795734,-200.10510401182205,Undefined,0
2024-01-29 00:00:00,159.99,160.57,159.56,160.3,-193.86095419396042,-186.09134383662604,Undefined,0
2024-01-29 00:30:00,160.34,160.98,160.34,160.77,-176.3192558599635,-172.07758366143003,Undefined,0
2024-01-29 01:00:00,160.32,160.44,159.8,160.44,-158.77755752596704,-158.063823486234,Undefined,0
2024-01-29 01:30:00,160.41,160.77,160.16,160.21,-141.23585919197012,-144.050063311038,Undefined,0
2024-01-29 02:00:00,160.13,161.01,160.11,161.01,-123.6941608579732,-130.036303135842,Undefined,0
2024-01-29 02:30:00,160.97,161.18,160.61,160.61,-106.15246252397628,-116.02254296064575,Undefined,0
